@relation data_normalizado-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute severidade {[1.0],[0.0],[1.1]}
@attribute fase_dia numeric
@attribute condicao_metereologica numeric
@attribute tracado_via numeric
@attribute tipo_veiculo numeric
@attribute idade numeric
@attribute km numeric

@data
[0.0],0.9,0.8,0.8,0.7,0.7857,0.5757
[1.0],0.5,0.8,0.8,0.7,0.3429,0.7562
[1.0],0.9,0.8,0.6,0.9,0.4714,0.6028
[1.0],0.9,0.8,0.9,0.9,0.3,0.6148
[1.0],0.9,0.5,0.2,0.7,0.7,0.6178
[1.0],0.9,0.5,0.2,0.9,0.2571,0.6178
[1.0],0.9,0.8,0.8,0.9,0.2286,1
[1.0],0.9,0.7,0.9,0.9,0.3857,0.5636
[0.0],0.7,0.8,0.6,0.7,0.2143,0.6088
[0.0],0.9,0.8,0.8,0.7,0.6857,0.8128
[0.0],0.9,0.8,0.8,0.7,0.3714,0.8128
[1.0],0.9,0.8,0.5,0.9,0.4286,0.6154
[1.0],0.7,0.8,0.9,0.9,0.0714,0.6157
[1.0],0.9,0.8,0.8,0.7,0.3571,0.3569
[1.0],0.9,0.8,0.8,0.7,0.3714,0.3569
[1.1],0.9,0.8,0.7,0.7,0.3286,0.4827
[1.1],0.9,0.8,0.7,0.5,0.2429,0.4827
[1.1],0.9,0.8,0.7,0.5,0.0143,0.4827
[1.1],0.9,0.8,0.7,0.5,0.0429,0.4827
[1.1],0.9,0.8,0.7,0.5,0.1,0.4827
[1.1],0.9,0.8,0.7,0.5,0.0571,0.4827
[1.1],0.9,0.8,0.7,0.5,0.1143,0.4827
[1.1],0.9,0.8,0.7,0.7,0.7,0.4827
[1.0],0.9,0.5,0.8,0.7,0.3,0.6602
[1.0],0.9,0.5,0.8,0.7,0.6286,0.6602
[1.0],0.9,0.8,0.8,0.9,0.1,0.6208
[1.0],0.9,0.8,0.8,0.9,0.2714,0.6208
[1.0],0.7,0.8,0.8,0.7,0.1857,0.6232
[1.0],0.7,0.8,0.8,0.9,0.7857,0.6232
[1.0],0.7,0.8,0.8,0.9,0.1429,0.6232
[1.0],0.7,0.8,0.8,0.9,0.0714,0.6232
[1.0],0.9,0.5,0.8,0.7,0.1714,0.5035
[1.0],0.9,0.5,0.8,0.7,0.2,0.5035
[1.0],0.9,0.5,0.8,0.7,0.3286,0.5035
[1.1],0.7,0.8,0.9,0.7,0.5714,0.5299
[1.1],0.7,0.8,0.9,0.7,0.2857,0.5299
[1.1],0.7,0.8,0.9,0.7,0.3286,0.5299
[1.1],0.7,0.8,0.9,0.7,0.7143,0.5299
[1.1],0.7,0.8,0.9,0.7,0.6143,0.5299
[1.1],0.7,0.8,0.9,0.7,0.0857,0.5299
[1.1],0.7,0.8,0.9,0.7,0.1714,0.5299
[1.1],0.7,0.8,0.9,0.7,0.6857,0.5299
[1.1],0.7,0.8,0.9,0.7,0.5429,0.5299
[1.1],0.7,0.8,0.9,0.7,0.0714,0.5299
[1.0],0.9,0.8,0.8,0.7,0.1714,0.7021
[1.0],0.9,0.8,0.8,0.7,0.1429,0.7021
[1.0],0.9,0.7,0.9,0.9,0.1857,0.6148
[1.0],0.7,0.8,0.8,0.7,0.3286,0.186
[1.0],0.7,0.8,0.8,0.7,0.1429,0.186
[1.0],0.9,0.8,0.8,0.7,0.1429,0.4243
[1.0],0.9,0.8,0.8,0.7,0.4143,0.4243
[1.0],0.9,0.8,0.8,0.7,0.0429,0.4243
[1.0],0.9,0.8,0.8,0.7,0.1,0.4243
[1.0],0.7,0.8,0.8,0.5,0.4857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.4571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.5429,0.2808
[1.0],0.7,0.8,0.8,0.5,0.4714,0.2808
[1.0],0.7,0.8,0.8,0.5,0.7286,0.2808
[1.0],0.7,0.8,0.8,0.5,0.7429,0.2808
[1.0],0.7,0.8,0.8,0.5,0.7714,0.2808
[1.0],0.7,0.8,0.8,0.5,0.3857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.9286,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.5286,0.2808
[1.0],0.7,0.8,0.8,0.5,0.8286,0.2808
[1.0],0.7,0.8,0.8,0.5,0.6286,0.2808
[1.0],0.7,0.8,0.8,0.5,0.2857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.4,0.2808
[1.0],0.7,0.8,0.8,0.5,0.4714,0.2808
[1.0],0.7,0.8,0.8,0.5,0.3571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.4,0.2808
[1.0],0.7,0.8,0.8,0.5,0.9,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0286,0.2808
[1.0],0.7,0.8,0.8,0.5,0.8857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.6286,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0143,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.9143,0.2808
[1.0],0.7,0.8,0.8,0.5,0.3857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.6571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.6857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.5857,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.7429,0.2808
[1.0],0.7,0.8,0.8,0.5,0.6571,0.2808
[1.0],0.7,0.8,0.8,0.5,0.6429,0.2808
[1.0],0.7,0.8,0.8,0.5,0.8429,0.2808
[1.0],0.7,0.8,0.8,0.5,0.3714,0.2808
[1.0],0.7,0.8,0.8,0.5,0.4,0.2808
[1.0],0.7,0.8,0.8,0.5,0.3143,0.2808
[1.0],0.7,0.8,0.8,0.5,0.4143,0.2808
[1.0],0.7,0.8,0.8,0.5,0.0143,0.2808
[1.0],0.7,0.8,0.8,0.5,0.7714,0.2808
[1.0],0.7,0.8,0.8,0.5,0.3429,0.2808
[1.0],0.7,0.8,0.8,0.5,0.3143,0.2808
[1.0],0.7,0.8,0.8,0.5,0.8,0.2808
[1.0],0.9,0.5,0.8,0.7,0.7714,0.2898
[1.0],0.9,0.5,0.8,0.7,0.2714,0.2898
[1.0],0.9,0.5,0.8,0.7,0.4857,0.2898
[1.0],0.7,0.8,0.8,0.7,0.1857,0.5817
[1.0],0.7,0.8,0.8,0.7,0.5,0.5817
[1.0],0.7,0.8,0.8,0.7,0.7857,0.5817
[1.0],0.7,0.8,0.8,0.7,0.5,0.5817
[1.0],0.7,0.8,0.8,0.7,0.4429,0.5817
[1.0],0.5,0.8,0.8,0.7,0.6,0.5757
[1.0],0.9,0.8,0.8,0.7,0.1714,0.5955
[1.0],0.9,0.5,0.9,0.9,0.1571,0.5068
[1.0],0.9,0.5,0.9,0.7,0.2571,0.5068
[1.0],0.9,0.5,0.9,0.7,0.2857,0.5068
[1.0],0.9,0.8,0.8,0.7,0.1286,0.2477
[1.0],0.9,0.8,0.8,0.7,0.0429,0.2477
[1.0],0.9,0.8,0.8,0.7,0.6429,0.2477
[1.0],0.9,0.8,0.8,0.7,0.3143,0.2477
[1.0],0.9,0.8,0.8,0.7,0.4,0.2477
[1.0],0.9,0.8,0.8,0.7,0.8571,0.2055
[0.0],0.7,0.8,0.8,0.7,0.2571,0.7502
[1.0],0.7,0.8,0.8,0.9,0.0429,0.2116
[1.0],0.7,0.8,0.8,0.7,0.5143,0.2116
[1.0],0.7,0.8,0.8,0.7,0.5,0.2116
[1.0],0.9,0.5,0.8,0.7,0.2857,0.2477
[1.0],0.9,0.5,0.8,0.9,0.5429,0.2477
[1.0],0.3,0.8,0.8,0.9,0.3857,0.6317
[1.0],0.7,0.8,0.8,0.7,0.2857,0.1303
[1.0],0.9,0.8,0.8,0.7,0.1714,0.4406
[1.0],0.9,0.8,0.8,0.7,0.0857,0.4406
[1.0],0.9,0.8,0.8,0.7,0.7714,0.4406
[1.0],0.9,0.8,0.8,0.7,0.6714,0.4406
[1.0],0.3,0.6,0.8,0.9,0.1143,0.6178
[1.0],0.9,0.8,0.9,0.7,0.5429,0.9293
[1.1],0.7,0.8,0.8,0.5,0.0571,0.6545
[1.1],0.7,0.8,0.8,0.5,0.2714,0.6545
[1.1],0.7,0.8,0.8,0.5,0.3,0.6545
[1.1],0.7,0.8,0.8,0.5,0.2,0.6545
[1.1],0.7,0.8,0.8,0.5,0.5571,0.6545
[1.1],0.7,0.8,0.8,0.5,0.4,0.6545
[1.1],0.7,0.8,0.8,0.5,0.4286,0.6545
[1.1],0.7,0.8,0.8,0.5,0.1714,0.6545
[1.1],0.7,0.8,0.8,0.5,0.0429,0.6545
[1.1],0.7,0.8,0.8,0.5,0.5286,0.6545
[1.1],0.7,0.8,0.8,0.5,0.2286,0.6545
[1.1],0.7,0.8,0.8,0.5,0.0857,0.6545
[1.1],0.7,0.8,0.8,0.5,0.8571,0.6545
[1.1],0.7,0.8,0.8,0.5,0.4286,0.6545
[1.1],0.7,0.8,0.8,0.5,0.0429,0.6545
[1.1],0.7,0.8,0.8,0.5,0.5286,0.6545
[1.1],0.7,0.8,0.8,0.5,0.3857,0.6545
[1.1],0.7,0.8,0.8,0.5,0.4143,0.6545
[1.1],0.7,0.8,0.8,0.5,0.6143,0.6545
[1.1],0.7,0.8,0.8,0.5,0.4714,0.6545
[1.1],0.7,0.8,0.8,0.5,0.4571,0.6545
[1.1],0.7,0.8,0.8,0.5,0.0571,0.6545
[1.1],0.7,0.8,0.8,0.5,0.3857,0.6545
[1.1],0.7,0.8,0.8,0.5,0.2,0.6545
[1.1],0.7,0.8,0.8,0.5,0.2,0.6545
[1.1],0.7,0.8,0.8,0.5,0.2,0.6545
