classificacao_acidente,fase_dia,condicao_metereologica,tracado_via,tipo_veiculo,idade,km
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Motocicleta,"0,1286","0,6208"
Sem Vítimas,Pleno dia,Céu Claro,Viaduto,Automóvel,"0,1714","0,5712"
Sem Vítimas,Pleno dia,Céu Claro,Viaduto,Automóvel,"0,3571","0,5712"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Motoneta,"0,7571","0,2943"
Com Vítimas Feridas,Pleno dia,Sol,Em Obras,Motocicleta,"0,0571","0,6013"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4857","0,6539"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,5","0,6539"
Com Vítimas Feridas,Amanhecer,Céu Claro,Rotatória,Motocicleta,"0,0714","0,9994"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,8","0,6479"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,5286","0,0695"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Automóvel,"0,4429","0,6545"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Automóvel,"0,0714","0,6545"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,5143","0,2206"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1","0,2206"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,7143","0,74"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2286","0,74"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4714","0,74"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Bicicleta,"0,2143","0,6088"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3286","0,6028"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,4286","0,6028"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3143","0,6028"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhonete,"0,2","0,2191"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0429","0,5757"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0429","0,5757"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1429","0,5757"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1857","0,5757"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Motocicleta,"0,0286","0,6148"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Motocicleta,"0,5714","0,6148"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,5","0,9428"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Automóvel,"0,3","0,1869"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1429","0,8255"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3143","0,8255"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhonete,"0,3571","0,6299"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4714","0,6148"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,7571","0,6148"
Sem Vítimas,Pleno dia,Chuva,Reta,Caminhonete,"0,1571","0,9187"
Com Vítimas Feridas,Anoitecer,Chuva,Reta,Automóvel,"0,3143","0,6765"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Automóvel,"0,5143","0,5387"
Com Vítimas Feridas,Pleno dia,Céu Claro,Viaduto,Automóvel,"0,1857","0,5727"
Com Vítimas Feridas,Pleno dia,Céu Claro,Viaduto,Motocicleta,"0,1857","0,5727"
Com Vítimas Feridas,Plena Noite,Céu Claro,Interseção de Vias,Bicicleta,"0,4857","0,5727"
Sem Vítimas,Amanhecer,Céu Claro,Curva,Automóvel,"0,3143","0,0605"
Sem Vítimas,Anoitecer,Céu Claro,Reta,Automóvel,"0,3286","0,5757"
Sem Vítimas,Anoitecer,Céu Claro,Reta,Automóvel,"0,1143","0,5757"
Sem Vítimas,Anoitecer,Céu Claro,Reta,Automóvel,"0,1857","0,5757"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,0286","0,1484"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3429","0,1484"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,2857","0,1484"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2429","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2143","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1857","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1429","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1286","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1857","0,2507"
Com Vítimas Feridas,Pleno dia,Céu Claro,Rotatória,Automóvel,"0,5286","0,6151"
Com Vítimas Feridas,Pleno dia,Céu Claro,Rotatória,Motocicleta,"0,0429","0,6151"
Com Vítimas Feridas,Pleno dia,Céu Claro,Rotatória,Caminhonete,"0,6857","0,6151"
Com Vítimas Feridas,Pleno dia,Céu Claro,Viaduto,Motocicleta,"0,2","0,5727"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Motocicleta,"0,1","0,6184"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Caminhonete,"0,7429","0,5817"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Caminhonete,"0,6429","0,5817"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Motoneta,"0,1857","0,5817"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,1","0,6052"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,2857","0,6052"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Automóvel,"0,1143","0,6052"
Com Vítimas Feridas,Pleno dia,Céu Claro,Rotatória,Motocicleta,"0,2286","0,6539"
Com Vítimas Feridas,Plena Noite,Céu Claro,Retorno Regulamentado,Automóvel,"0,4714","0,7893"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,1429","0,1261"
Sem Vítimas,Pleno dia,Sol,Aclive,Automóvel,"0,5571","0,6569"
Sem Vítimas,Pleno dia,Sol,Reta,Automóvel,"0,6143","0,1243"
Sem Vítimas,Pleno dia,Sol,Reta,Automóvel,"0,2857","0,1243"
Com Vítimas Feridas,Pleno dia,Céu Claro,Rotatória,Automóvel,"0,5286","0,6545"
Com Vítimas Feridas,Anoitecer,Nublado,Reta,Automóvel,"0,0857","0,6193"
Com Vítimas Feridas,Anoitecer,Nublado,Reta,Motocicleta,"0,3714","0,6193"
Sem Vítimas,Anoitecer,Céu Claro,Reta,Automóvel,"0,2571","0,6145"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,3","0,6314"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,4571","0,9031"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,6","0,9031"
Com Vítimas Feridas,Plena Noite,Vento,Retorno Regulamentado,Automóvel,"0,1714","0,6479"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhonete,"0,0857","0,7532"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhonete,"0,0714","0,7532"
Com Vítimas Feridas,Anoitecer,Céu Claro,Curva,Automóvel,"0,5429","0,6208"
Com Vítimas Feridas,Anoitecer,Céu Claro,Curva,Automóvel,"0,5429","0,6208"
Sem Vítimas,Pleno dia,Sol,Viaduto,Ônibus,"0,0857","0,5636"
Sem Vítimas,Pleno dia,Sol,Viaduto,Ônibus,"0,1286","0,5636"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhonete,"0,5857","0,5185"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3143","0,5185"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,6429","0,7442"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Camioneta,"0,4429","0,7442"
Com Vítimas Feridas,Plena Noite,Chuva,Reta,Caminhonete,"0,7143","0,4342"
Com Vítimas Feridas,Plena Noite,Chuva,Curva,Automóvel,"0,5143","0,6268"
Com Vítimas Feridas,Plena Noite,Chuva,Curva,Automóvel,"0,9143","0,6268"
Com Vítimas Feridas,Plena Noite,Chuva,Curva,Automóvel,"0,6429","0,6268"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Bicicleta,"0,1571","0,5667"
Com Vítimas Feridas,Plena Noite,Chuva,Aclive,Automóvel,"0,2","0,6148"
Com Vítimas Feridas,Plena Noite,Chuva,Aclive,Automóvel,"0,5","0,6148"
Com Vítimas Feridas,Plena Noite,Chuva,Aclive,Automóvel,"0,2143","0,6148"
Sem Vítimas,Plena Noite,Chuva,Curva,Automóvel,"0,0714","0,6265"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,3143","0,6028"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,3429","0,672"
Com Vítimas Feridas,Pleno dia,Céu Claro,Interseção de Vias,Motocicleta,"0,1","0,6091"
Com Vítimas Feridas,Amanhecer,Nublado,Reta,Automóvel,"0,2429","0,9774"
Com Vítimas Feridas,Pleno dia,Nublado,Declive,Caminhonete,"0,5143","0,8044"
Com Vítimas Feridas,Pleno dia,Nublado,Declive,Camioneta,"0,8143","0,8044"
Com Vítimas Feridas,Pleno dia,Nublado,Declive,Camioneta,"0,7714","0,8044"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,8714","0,2708"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,4571","0,2708"
Com Vítimas Fatais,Pleno dia,Céu Claro,Reta,Automóvel,"0,4571","0,2708"
Com Vítimas Feridas,Pleno dia,Chuva,Declive,Caminhonete,"0,2571","0,8014"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,1857","0,5748"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,2429","0,5748"
Com Vítimas Fatais,Plena Noite,Céu Claro,Curva,Caminhonete,"0,6714","0,5486"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0286","0,6028"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3571","0,6028"
Com Vítimas Feridas,Pleno dia,Céu Claro,Viaduto,Automóvel,"0,1286","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Viaduto,Caminhonete,"0,1571","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Viaduto,Automóvel,"0,4286","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Viaduto,Automóvel,"0,0571","0,6178"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,1143","0,6599"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Motocicleta,"0,0714","0,6296"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Micro-ônibus,"0,3571","0,2146"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Micro-ônibus,"0,2571","0,2146"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Micro-ônibus,"0,7286","0,2146"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Micro-ônibus,"0,2714","0,2146"
Sem Vítimas,Pleno dia,Sol,Declive,Automóvel,"0,1857","0,6178"
Sem Vítimas,Pleno dia,Sol,Declive,Automóvel,"0,2571","0,6178"
Sem Vítimas,Pleno dia,Sol,Declive,Automóvel,"0,3571","0,6178"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1143","0,0761"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3143","0,0761"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,6429","0,0761"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3714","0,0761"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,9714","0,0761"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1286","0,0761"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,1714","0,176"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,6571","0,176"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,0857","0,176"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2714","0,176"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,7714","0,176"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Camioneta,"0,5429","0,675"
Com Vítimas Feridas,Plena Noite,Nublado,Curva,Automóvel,"0,3143","0,6028"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Caminhonete,"0,5571","0,3085"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Caminhonete,"0,3","0,3085"
Com Vítimas Feridas,Amanhecer,Chuva,Interseção de Vias,Automóvel,"0,3714","0,3163"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Automóvel,"0,2","0,3048"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Automóvel,"0,3143","0,3048"
Com Vítimas Feridas,Pleno dia,Sol,Curva,Automóvel,"0,6","0,4487"
Com Vítimas Feridas,Pleno dia,Sol,Curva,Automóvel,"0,3286","0,4487"
Com Vítimas Feridas,Pleno dia,Sol,Curva,Automóvel,"0,5429","0,4487"
Com Vítimas Feridas,Pleno dia,Sol,Curva,Automóvel,"0,9286","0,4487"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Caminhonete,"0,4","0,7593"
Com Vítimas Feridas,Plena Noite,Chuva,Reta,Automóvel,"0,1","0,6148"
Sem Vítimas,Pleno dia,Chuva,Reta,Automóvel,"0,1143","0,5757"
Com Vítimas Feridas,Amanhecer,Nublado,Reta,Automóvel,"0,4571","0,7292"
Com Vítimas Feridas,Amanhecer,Nublado,Reta,Automóvel,"0,7857","0,7292"
Com Vítimas Feridas,Amanhecer,Nublado,Reta,Automóvel,"0,1429","0,7292"
Sem Vítimas,Pleno dia,Nublado,Reta,Automóvel,"0,1714","0,6329"
Sem Vítimas,Pleno dia,Nublado,Reta,Caminhonete,"0,5857","0,6329"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Caminhonete,"0,6429","0,985"
Com Vítimas Feridas,Pleno dia,Chuva,Curva,Caminhonete,"0,7","0,985"
Com Vítimas Feridas,Pleno dia,Nublado,Interseção de Vias,Motocicleta,"0,6857","0,4734"
Com Vítimas Feridas,Plena Noite,Chuva,Reta,Automóvel,"0,1429","0,6088"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,3571","0,2748"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,2714","0,2748"
Com Vítimas Feridas,Pleno dia,Sol,Declive,Caminhonete,"0,3429","0,5937"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Reta,Automóvel,"0,6429","0,6479"
Com Vítimas Fatais,Pleno dia,Nublado,Reta,Utilitário,"0,1571","0,3711"
Com Vítimas Fatais,Pleno dia,Nublado,Reta,Utilitário,"0,2","0,3711"
Com Vítimas Fatais,Pleno dia,Nublado,Reta,Automóvel,"0,6429","0,3711"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Camioneta,"0,5571","0,6178"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,1857","0,6178"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,1571","0,6178"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Automóvel,"0,3714","0,6178"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Motocicleta,"0,2714","0,6163"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Caminhonete,"0,2429","0,6163"
Com Vítimas Feridas,Plena Noite,Chuva,Reta,Automóvel,"0,5286","0,672"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Ônibus,"0,2286","0,6148"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Motocicleta,"0,4143","0,6148"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Motocicleta,"0,1857","0,6178"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Automóvel,"0,3857","0,6178"
Sem Vítimas,Plena Noite,Chuva,Reta,Automóvel,"0,3","0,9007"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Motocicleta,"0,1286","0,6028"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,2714","0,8077"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,4286","0,8077"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Utilitário,"0,4429","0,8077"
Com Vítimas Feridas,Pleno dia,Nublado,Curva,Caminhonete,"0,4714","0,8014"
Com Vítimas Feridas,Plena Noite,Chuva,Aclive,Automóvel,"0,3","0,678"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Interseção de Vias,Automóvel,"0,2","0,0346"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Interseção de Vias,Automóvel,"0,3857","0,0346"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Interseção de Vias,Automóvel,"0,0714","0,0346"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Interseção de Vias,Automóvel,"0,1286","0,0346"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Interseção de Vias,Automóvel,"0,1857","0,0346"
Sem Vítimas,Pleno dia,Nublado,Interseção de Vias,Automóvel,"0,0714","0,6208"
Sem Vítimas,Pleno dia,Nublado,Interseção de Vias,Caminhonete,"0,2571","0,6208"
Sem Vítimas,Pleno dia,Nublado,Interseção de Vias,Caminhonete,"0,1857","0,6208"
Com Vítimas Fatais,Amanhecer,Nublado,Reta,Automóvel,"0,2143","0,1243"
Com Vítimas Fatais,Amanhecer,Ignorado,Curva,Motocicleta,"0,0857","0,5188"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,2286","0,1484"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Automóvel,"0,5","0,0159"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Motocicleta,"0,0429","0,5787"
Com Vítimas Feridas,Anoitecer,Céu Claro,Reta,Motocicleta,"0,0429","0,5787"
Sem Vítimas,Plena Noite,Chuva,Reta,Caminhonete,"0,0714","0,6539"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Automóvel,"0,3571","0,0268"
Sem Vítimas,Pleno dia,Sol,Curva,Caminhonete,"0,3286","0,0274"
Sem Vítimas,Pleno dia,Sol,Curva,Caminhonete,"0,4","0,0274"
Sem Vítimas,Pleno dia,Sol,Curva,Automóvel,"0,0286","0,0274"
Sem Vítimas,Pleno dia,Sol,Curva,Automóvel,"0,2429","0,0274"
Sem Vítimas,Pleno dia,Sol,Curva,Caminhonete,"0,2857","0,0274"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Automóvel,"0,6143","0,1273"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Utilitário,"0,3571","0,6299"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,2714","0,1845"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1143","0,1845"
Sem Vítimas,Plena Noite,Céu Claro,Ponte,Automóvel,"0,2714","0,022"
Sem Vítimas,Plena Noite,Céu Claro,Ponte,Automóvel,"0,1714","0,022"
Com Vítimas Feridas,Anoitecer,Vento,Reta,Automóvel,"0,2714","0,6028"
Com Vítimas Feridas,Anoitecer,Vento,Reta,Motocicleta,"0,0143","0,6028"
Com Vítimas Feridas,Anoitecer,Vento,Reta,Automóvel,"0,4143","0,6028"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Automóvel,"0,5143","0,2146"
Com Vítimas Fatais,Plena Noite,Nublado,Curva,Automóvel,"0,0571","0,2898"
Com Vítimas Fatais,Plena Noite,Nublado,Curva,Automóvel,"0,3429","0,2898"
Com Vítimas Fatais,Plena Noite,Nublado,Curva,Automóvel,"0,3571","0,2898"
Com Vítimas Feridas,Plena Noite,Garoa/Chuvisco,Reta,Motocicleta,"0,3","0,5766"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,2714","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,0714","0,6178"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,0857","0,6178"
Com Vítimas Feridas,Plena Noite,Nublado,Reta,Automóvel,"0,0571","0,5757"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhonete,"0,5571","0,6518"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Motocicleta,"0,1286","0,6518"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,3571","0,5757"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Automóvel,"0,4","0,5757"
Com Vítimas Fatais,Anoitecer,Vento,Reta,Motocicleta,"0,1857","0,526"
Com Vítimas Fatais,Anoitecer,Vento,Reta,Motocicleta,"0,1143","0,526"
Com Vítimas Fatais,Anoitecer,Vento,Reta,Caminhonete,"0,4857","0,526"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão,"0,3143","0,6166"
Com Vítimas Feridas,Amanhecer,Céu Claro,Curva,Caminhão,"0,3714","0,5185"
Com Vítimas Feridas,Amanhecer,Céu Claro,Curva,Caminhão,"0,4","0,5185"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4","0,5823"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2429","0,7602"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,3857","0,3088"
Com Vítimas Feridas,Pleno dia,Céu Claro,Rotatória,Caminhão,"0,6286","0,5727"
Com Vítimas Feridas,Plena Noite,Céu Claro,Interseção de Vias,Caminhão-trator,"0,3857","0,8673"
Com Vítimas Feridas,Plena Noite,Céu Claro,Interseção de Vias,Caminhão-trator,"0,3714","0,8673"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,4143","0,5787"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2143","0,5667"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,1714","0,5667"
Com Vítimas Feridas,Pleno dia,Sol,Reta,Caminhão-trator,"0,6429","0,4493"
Sem Vítimas,Plena Noite,Chuva,Reta,Caminhão,"0,5429","0,3831"
Sem Vítimas,Plena Noite,Chuva,Reta,Caminhão,"0,6429","0,3831"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2571","0,5967"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhão-trator,"0,5714","0,6777"
Com Vítimas Feridas,Plena Noite,Chuva,Reta,Caminhão-trator,"0,3429","0,1484"
Com Vítimas Feridas,Amanhecer,Sol,Reta,Caminhão-trator,"0,6286","0,1875"
Com Vítimas Feridas,Amanhecer,Sol,Reta,Caminhão,"0,2714","0,1875"
Com Vítimas Fatais,Plena Noite,Chuva,Declive,Caminhão-trator,"0,5143","0,9187"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,2286","0,5847"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Caminhão-trator,"0,1143","0,5188"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,3714","0,1785"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,7286","0,5998"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão,"0,2429","0,8583"
Com Vítimas Feridas,Amanhecer,Chuva,Reta,Caminhão,"0,3857","0,9203"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2429","0,6031"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,6429","0,1785"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,4857","0,1785"
Com Vítimas Fatais,Pleno dia,Chuva,Curva,Caminhão-trator,"0,3","0,1815"
Sem Vítimas,Anoitecer,Garoa/Chuvisco,Reta,Caminhão-trator,"0,3714","0,3771"
Com Vítimas Feridas,Amanhecer,Céu Claro,Reta,Caminhão-trator,"0,3143","0,7532"
Com Vítimas Fatais,Plena Noite,Vento,Declive,Caminhão-trator,"0,4714","0,4643"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,1714","0,7475"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Caminhão-trator,"0,5857","0,5185"
Com Vítimas Feridas,Pleno dia,Nublado,Reta,Caminhão,"0,7429","0,2341"
Sem Vítimas,Plena Noite,Vento,Curva,Caminhão,"0,2143","0,5366"
Com Vítimas Feridas,Amanhecer,Céu Claro,Aclive,Caminhão-trator,"0,5429","0,2236"
Com Vítimas Feridas,Plena Noite,Nublado,Declive,Caminhão-trator,"0,3143","0,4746"
Com Vítimas Feridas,Plena Noite,Nublado,Declive,Caminhão,"0,4","0,4746"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,1429","0,693"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,2571","0,0873"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,7286","0,6524"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,5714","0,6524"
Com Vítimas Feridas,Amanhecer,Céu Claro,Declive,Caminhão,"0,2429","0,9639"
Com Vítimas Feridas,Amanhecer,Céu Claro,Declive,Caminhão,"0,7857","0,9639"
Sem Vítimas,Pleno dia,Nublado,Reta,Caminhão-trator,"0,3","0,5877"
Sem Vítimas,Pleno dia,Nublado,Reta,Caminhão,"0,1143","0,5877"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,3429","0,6554"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Caminhão,"0,2143","0,8044"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Caminhão,"0,2429","0,8044"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4714","0,663"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Caminhão,"0,2143","0,8255"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Caminhão,"0,0429","0,8255"
Com Vítimas Feridas,Pleno dia,Céu Claro,Em Obras,Caminhão,"0,2143","0,8044"
Com Vítimas Feridas,Pleno dia,Céu Claro,Em Obras,Caminhão,"0,5857","0,8044"
Com Vítimas Feridas,Pleno dia,Céu Claro,Em Obras,Caminhão,"0,5857","0,8044"
Com Vítimas Feridas,Pleno dia,Céu Claro,Em Obras,Caminhão-trator,"0,3286","0,8044"
