classificacao_acidente,fase_dia,condicao_metereologica,tracado_via,tipo_veiculo,idade,km
Sem Vítimas,Pleno dia,Chuva,Reta,Caminhão,"0,6143","0,8194"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,5714","0,9218"
Com Vítimas Fatais,Pleno dia,Sol,Reta,Caminhão-trator,"0,3857","0,2456"
Com Vítimas Feridas,Plena Noite,Nublado,Declive,Caminhão,"0,7429","0,5363"
Com Vítimas Feridas,Plena Noite,Nublado,Declive,Caminhão,"0,5857","0,5363"
Com Vítimas Feridas,Amanhecer,Chuva,Interseção de Vias,Caminhão-trator,"0,3429","0,6268"
Sem Vítimas,Plena Noite,Céu Claro,Em Obras,Caminhão,"0,3571","0,8044"
Com Vítimas Feridas,Anoitecer,Céu Claro,Curva,Caminhão-trator,"0,4","0,7562"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,1143","0,6073"
Sem Vítimas,Pleno dia,Céu Claro,Aclive,Caminhão,"0,1571","0,204"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Caminhão-trator,"0,1857","0,2862"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2571","0,6028"
Com Vítimas Fatais,Pleno dia,Nublado,Reta,Caminhão-trator,"0,3857","0,8255"
Sem Vítimas,Plena Noite,Chuva,Reta,Caminhão-trator,"0,3","0,6353"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,2714","0,5784"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,1429","0,6238"
Com Vítimas Feridas,Amanhecer,Sol,Reta,Caminhão,"0,4429","0,5787"
Com Vítimas Feridas,Anoitecer,Céu Claro,Interseção de Vias,Caminhão-trator,"0,1857","0,1514"
Sem Vítimas,Pleno dia,Nublado,Reta,Caminhão-trator,"0,4714","0,1649"
Com Vítimas Feridas,Plena Noite,Vento,Reta,Caminhão-trator,"0,3","0,6419"
Com Vítimas Feridas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,2429","0,8345"
Com Vítimas Fatais,Plena Noite,Céu Claro,Reta,Caminhão,"0,4714","0,2537"
Sem Vítimas,Plena Noite,Céu Claro,Curva,Caminhão-trator,"0,3714","0,678"
Com Vítimas Feridas,Pleno dia,Chuva,Reta,Caminhão-trator,"0,4714","0,6208"
Sem Vítimas,Amanhecer,Chuva,Reta,Caminhão-trator,"0,1571","0,6509"
Sem Vítimas,Amanhecer,Chuva,Reta,Caminhão-trator,"0,3286","0,6509"
Sem Vítimas,Pleno dia,Céu Claro,Aclive,Caminhão-trator,"0,4857","0,1965"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,5286","0,616"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,4429","0,8405"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4286","0,8935"
Com Vítimas Feridas,Pleno dia,Céu Claro,Em Obras,Caminhão,"0,2571","0,6103"
Sem Vítimas,Amanhecer,Nublado,Reta,Caminhão-trator,"0,3571","0,6512"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhão,"0,1286","0,1833"
Com Vítimas Feridas,Pleno dia,Céu Claro,Em Obras,Caminhão,"0,5286","0,1691"
Com Vítimas Feridas,Pleno dia,Céu Claro,Retorno Regulamentado,Caminhão-trator,"0,5429","0,9994"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,4429","0,6193"
Com Vítimas Feridas,Plena Noite,Céu Claro,Rotatória,Caminhão,"0,5857","0,1222"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,5","0,6419"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,4143","0,7472"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,1","0,7225"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão,"0,6286","0,8646"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,3286","0,8646"
Sem Vítimas,Pleno dia,Sol,Curva,Caminhão,"0,5143","0,8053"
Com Vítimas Feridas,Plena Noite,Nublado,Aclive,Caminhão-trator,"0,3286","0,0764"
Sem Vítimas,Pleno dia,Céu Claro,Curva,Caminhão-trator,"0,3571","0,9308"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Caminhão-trator,"0,1143","0,2778"
Com Vítimas Feridas,Plena Noite,Céu Claro,Curva,Caminhão-trator,"0,6286","0,2778"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,6143","0,4613"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,6714","0,4613"
Com Vítimas Feridas,Pleno dia,Nevoeiro/Neblina,Reta,Caminhão-trator,"0,7429","0,6991"
Com Vítimas Feridas,Pleno dia,Nevoeiro/Neblina,Reta,Caminhão-trator,"0,5714","0,6991"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,5143","0,988"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2","0,046"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,5286","0,3771"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,2429","0,3771"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,1857","0,5787"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,5857","0,034"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4286","0,5787"
Com Vítimas Feridas,Pleno dia,Céu Claro,Declive,Caminhão-trator,"0,3143","0,4734"
Com Vítimas Feridas,Pleno dia,Céu Claro,Desvio Temporário,Caminhão-trator,"0,3571","0,5998"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2143","0,5998"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,3714","0,5998"
Com Vítimas Feridas,Plena Noite,Céu Claro,Declive,Caminhão-trator,"0,7286","0,4523"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,2857","0,2868"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão,"0,6","0,2079"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,1857","0,8074"
Com Vítimas Feridas,Plena Noite,Céu Claro,Reta,Caminhão,"0,2143","0,8074"
Sem Vítimas,Plena Noite,Céu Claro,Reta,Caminhão-trator,"0,6143","0,8465"
Sem Vítimas,Pleno dia,Céu Claro,Reta,Caminhão,"0,6","0,7322"
Com Vítimas Feridas,Pleno dia,Sol,Declive,Caminhão-trator,"0,3","0,5998"
Sem Vítimas,Amanhecer,Céu Claro,Reta,Caminhão-trator,"0,2286","0,1017"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,4","0,6479"
Sem Vítimas,Amanhecer,Céu Claro,Reta,Caminhão-trator,"0,5714","0,5095"
Com Vítimas Feridas,Pleno dia,Céu Claro,Aclive,Caminhão-trator,"0,1571","0,6545"
Com Vítimas Feridas,Pleno dia,Céu Claro,Reta,Caminhão-trator,"0,3143","0,2206"
